X,RecordID_ALA,COLLECTION.ID,CatalogNumber,Collection,SpeciesName,MonthCapture,YearCapture,LongitudeClim,LatitudeClim,Longitude,Latitude,distance2coast_m,elevation,IBRA_REG_CODE_7,IBRA_REG_NAME_7
3034,2c0c88f0-b473-42f9-85ad-b5fff5f4713c,A15661,A15661,WAM,Malurus lamberti,5,1978,127.966667,-18.233333,127.966667,-18.233333,308550,327.0255127,OVP,Ord Victoria Plain
12950,2c3f524c-0378-4096-a2a8-a8114e301f76,G32352,G32352,ANWC,Malurus lamberti,11,2011,150.879,-28.5364,150.879,-28.5364,250395.8838,283.6929016,BBS,Brigalow Belt South
1221,2c6eb098-0e9b-4ff9-be63-cef32fddcff8,A20168,A20168,WAM,Malurus lamberti,3,1986,125.95,-16.666944,125.95,-16.666944,129617.2411,398.0091858,CEK,Central Kimberley
5902,2d0a2675-b6a8-4061-a463-2426e0147192,B39927,B39927,ANWC,Malurus lamberti,7,1985,142.7667,-23.25,142.7667,-23.25,598894.8831,253.222702,CHC,Channel Country
8656,2d96f570-35c6-4197-bdab-57e170a658c0,B50538,B50538,ANWC,Malurus lamberti,9,2004,123.6261,-17.7086,123.6261,-17.7086,24494.61165,1.940161943,DAL,Dampierland
8659,2dd3166f-02d2-4a29-b0ee-1d7a3eed6208,O.45869,O.45869,AM,Malurus lamberti,9,1976,141.7,-31.083,141.7,-31.083,400425.8303,177.7026062,BHC,Broken Hill Complex
8664,2e4958cb-7582-4ef5-b2c7-98f7c3105e43,B40263,B40263,ANWC,Malurus lamberti,9,1985,133.85,-23.5167,133.85,-23.5167,880456.1223,723.9998779,BRT,Burt Plain
8666,2e69fb7c-c1d0-4779-bc75-82091f98765d,O29065,O29065,QM,Malurus lamberti,9,1990,125.183333,-16.983333,125.183333,-16.983333,75900.46245,404.1159973,CEK,Central Kimberley
7146,2f09b033-b1b3-4379-8637-27fc3ca784eb,G31900,G31900,ANWC,Malurus lamberti,7,2010,127.9837,-16.4463,127.9837,-16.4463,106703.0281,180.0895996,VIB,Victoria Bonaparte
3062,2f396298-8a84-43ea-bbd1-e884e1b90928,A15666,A15666,WAM,Malurus lamberti,5,1978,127.883333,-18.233333,127.883333,-18.233333,308706.2275,384.0317993,OVP,Ord Victoria Plain
11681,2f7eeca8-9988-4ab7-add5-7047ee9f1901,G22929,G22929,ANWC,Malurus lamberti,10,1994,137.2483,-35.0675,137.2483,-35.0675,11220,53.7720108,EYB,Eyre Yorke Block
5911,2f81eee4-1f15-471c-a0c5-ddc391c517a0,B54740,B54740,ANWC,Malurus lamberti,7,2009,133.741,-14.172,133.741,-14.172,191864.83,125.0743027,GFU,Gulf Fall and Uplands
4794,3021a672-e8fd-4f54-9614-0a6a4515f63b,B00652,B00652,ANWC,Malurus lamberti,6,1961,151.4667,-26.7833,151.4667,-26.7833,159704.1455,600.5554199,BBS,Brigalow Belt South
7136,3059fbfc-464d-4ace-b97f-65a00056157c,G32028,G32028,ANWC,Malurus lamberti,7,2010,126.0972,-18.7338,126.0972,-18.7338,287328.5132,291.7756042,OVP,Ord Victoria Plain
1233,3063b751-8290-4eac-a458-1e882f4add7f,A20179,A20179,WAM,Malurus lamberti,3,1986,124.983333,-17.333333,124.983333,-17.333333,105189.6002,104.3380966,CEK,Central Kimberley
11949,3085d0fd-8fe3-4289-9dfb-1d73e58be9fc,B49626,B49626,ANWC,Malurus lamberti,11,1998,147.085,-34.0167,147.085,-34.0167,343792.689,282.0733032,NSS,NSW South Western Slopes
