SAMPLE.ID,YearJJ,Tmean
ANWC72,1995,20.56942678
ANWC73,1995,20.56942678
ANWC100,1980,20.5738558
ANWC71,1986,20.57406847
ANWC105,1986,20.57555691
ANWC131,2004,20.5772926
ANWC131,2006,20.58327079
ANWC71,1981,20.58636117
WAM55,1977,20.59489075
ANWC130,2004,20.61488533
ANWC126,2007,20.61690291
ANWC71,1989,20.61735161
ANWC134,1991,20.61916304
SAM38,2005,20.62357791
ANWC130,2006,20.62420336
ANWC105,1993,20.62458968
WAM55,1976,20.6297005
ANWC131,2003,20.63677343
ANWC77,1992,20.63977885
ANWC71,1997,20.64316519
ANWC103,1976,20.65410018
ANWC135,1996,20.65873996
ANWC136,1996,20.65873996
ANWC130,2003,20.66855033
ANWC81,1986,20.67684181
ANWC128,2004,20.69489813
ANWC72,2002,20.69758987
ANWC73,2002,20.69758987
ANWC135,1994,20.70196215
ANWC136,1994,20.70196215
ANWC128,2006,20.70512295
ANWC72,1986,20.71354723
ANWC73,1986,20.71354723
ANWC128,1996,20.71820466
ANWC105,1982,20.72565714
ANWC71,1988,20.73250373
ANWC72,1987,20.74112733
ANWC73,1987,20.74112733
ANWC105,1987,20.74452647
ANWC131,1996,20.76050202
ANWC134,2004,20.76590244
ANWC118,2002,20.76692446
ANWC128,2003,20.78094848
ANWC132,1996,20.78949388
ANWC133,1996,20.78949388
ANWC134,2006,20.79007936
WAM58,1984,20.80652237
ANWC129,2004,20.81061649
ANWC71,1987,20.81203183
ANWC129,2006,20.81209644
ANWC135,1990,20.81245184
ANWC136,1990,20.81245184
ANWC130,1996,20.813634
ANWC72,1999,20.8170135
ANWC73,1999,20.8170135
ANWC131,1997,20.82377005
ANWC106,1987,20.82931852
ANWC107,1987,20.82931852
ANWC75,2002,20.83712559
ANWC129,1996,20.84839582
ANWC134,1997,20.85111666
ANWC131,1998,20.85268108
ANWC71,1993,20.85587374
ANWC131,2002,20.86273432
